n_components,frac_largest,homophily,t,mean_opinion,std_opinion
1,1.0,0.026278569636708278,0,0.495681337875391,0.28648560506327125
1,1.0,0.06277128316872954,500,0.49568133787539104,0.28283275743981223
1,1.0,0.08929180050509143,1000,0.495681337875391,0.28083456530193157
1,1.0,0.10897618673453163,1500,0.49568133787539104,0.27918706362887696
1,1.0,0.1448529241713562,2000,0.49568133787539104,0.2774498907272191
1,1.0,0.17153244735368522,2500,0.49568133787539104,0.2757503905836468
1,1.0,0.21580458736106722,3000,0.495681337875391,0.27445447792446187
1,1.0,0.2426030466108957,3500,0.49568133787539104,0.27359342563151645
1,1.0,0.26301391930782886,4000,0.49568133787539104,0.27259895116701605
1,1.0,0.30824816296901164,4500,0.49568133787539104,0.2718393356002523
1,1.0,0.3532439495697427,5000,0.49568133787539104,0.2709502169509764
1,1.0,0.3865223902868036,5500,0.49568133787539104,0.27005340059569916
2,0.998,0.417336073642295,6000,0.495681337875391,0.26898680149452414
2,0.998,0.45856254022626963,6500,0.495681337875391,0.26813824139444586
2,0.998,0.4872840663646777,7000,0.495681337875391,0.2675805184904199
2,0.998,0.49756484419094066,7500,0.495681337875391,0.2669370924650875
2,0.998,0.5145492191805786,8000,0.49568133787539104,0.26624676309771644
2,0.998,0.5241046781836898,8500,0.49568133787539104,0.265660092639961
2,0.998,0.5348794985632306,9000,0.495681337875391,0.2648337226167592
4,0.982,0.5629512484388197,9500,0.495681337875391,0.2643273559502818
4,0.982,0.5800343195017857,9999,0.49568133787539104,0.26355737070591934
