epsilon,p_cut_star,frac_largest_mean
0.1,0.0744444444444444,0.8915
0.15,0.1066666666666666,0.8220000000000001
0.2,0.1066666666666666,0.949
0.25,0.1388888888888889,0.9425
0.3,0.2033333333333333,0.9075
0.3500000000000001,0.3,0.9405
0.4,,0.969
