n_components_mean,n_components_std,frac_largest_mean,frac_largest_std,avg_degree_mean,avg_degree_std,clustering_mean,clustering_std,path_length_LCC_mean,path_length_LCC_std,modularity_Q_mean,modularity_Q_std,homophily_mean,homophily_std,std_opinion_mean,std_opinion_std,epsilon_mean,epsilon_std,p_cut_mean,p_cut_std,epsilon,p_cut,n_seeds
1.0,0.0,1.0,0.0,3.8230000000000004,0.02659887215654094,0.3061761904761905,0.014793228096182024,6.705180451127819,0.2125585884182109,0.7789035511302128,0.011059615381711437,0.09237255512885928,0.057137398623226095,0.2837839775758651,0.0017826873783589115,0.1,0.0,0.01,0.0,0.1,0.01,5
6.8,2.04939015319192,0.978,0.004808846015417852,3.2969999999999997,0.04906628170138825,0.302927380952381,0.023340503332297473,8.162160497953304,0.5613367811258667,0.8195729039007407,0.013423473766660761,0.43132637418721104,0.06376164606645948,0.2832074979565756,0.0016257517612853,0.1,0.0,0.042222222222222223,0.0,0.1,0.042222222222222223,5
27.4,5.770615218501403,0.8915,0.031104662029991556,2.914,0.08940078299433389,0.33394722222222223,0.027253035347312212,10.044078801024222,0.7717801084772947,0.8676630013229202,0.012492385446600803,0.6196523986853023,0.051615635526514624,0.2828288051168514,0.0020077872313077187,0.1,0.0,0.07444444444444444,0.0,0.1,0.07444444444444444,5
59.6,5.176871642217914,0.562,0.10595399945259266,2.67,0.08999999999999996,0.38374206349206347,0.013506226663974804,12.462031066610447,1.9154297849593696,0.9153210063766173,0.00943187366210099,0.7585565643360549,0.03041001858637529,0.28254056728560084,0.0019028476881961104,0.1,0.0,0.10666666666666666,0.0,0.1,0.10666666666666666,5
113.6,10.526157893552615,0.187,0.06185668920981787,2.3760000000000003,0.09065042746727672,0.4353571428571429,0.024518533080660387,7.326769558417594,1.2665965208145478,0.9440048451004467,0.003410694293231712,0.8753432488131596,0.027986877123772697,0.28292754598218606,0.0019931968583420793,0.1,0.0,0.1388888888888889,0.0,0.1,0.1388888888888889,5
133.8,9.364827814754523,0.1045,0.02991655060330318,2.3259999999999996,0.09626785548665773,0.464843253968254,0.028335062861267465,5.654114797949389,1.6118842626163057,0.9547333296966993,0.007801453895805362,0.9317030004887508,0.012307072918676594,0.2827609126727738,0.001940144262680137,0.1,0.0,0.1711111111111111,0.0,0.1,0.1711111111111111,5
150.6,6.188699378706321,0.066,0.019088609168821075,2.2279999999999998,0.07216300991505277,0.47447380952380946,0.025533990465181174,3.739902441525809,0.8195906102925185,0.9635057573675978,0.005547327105648359,0.9608486959949152,0.013515691336557199,0.2830251524938775,0.0018085367658215508,0.1,0.0,0.2033333333333333,3.1031676915590914e-17,0.1,0.20333333333333334,5
156.4,4.722287581247038,0.053000000000000005,0.003259601202601324,2.226,0.07853343237118826,0.5056456349206349,0.028693735256397353,2.980746134109979,0.35113279315536167,0.9650649535791314,0.003949921307737152,0.9828085928917731,0.012167240430399764,0.28294689356617725,0.001758745377782961,0.1,0.0,0.23555555555555557,0.0,0.1,0.23555555555555557,5
166.0,8.860022573334675,0.056999999999999995,0.024647515087732472,2.164,0.060971304726075926,0.5140765873015873,0.017211908336846136,3.117294577183015,1.1132091590780375,0.9668274479140342,0.0068956748906173915,0.9948308752210011,0.0048639539186335476,0.2827454035716426,0.0019471374583307673,0.1,0.0,0.2677777777777778,0.0,0.1,0.2677777777777778,5
162.0,7.874007874011811,0.055499999999999994,0.01797567801224755,2.2039999999999997,0.1010198000393981,0.5225126984126984,0.04567105359985147,3.303575344196034,0.8957172124317212,0.9682637624808844,0.004809780118397092,0.9953783645894235,0.005309592504547271,0.28279566413559504,0.0018754518561641899,0.1,0.0,0.3,0.0,0.1,0.3,5
1.2,0.44721359549995804,0.9995,0.001118033988749871,3.903,0.030943496893531677,0.30927539682539684,0.017074825589694698,6.544254089998866,0.2085683450190785,0.7750005519606008,0.012799954304974043,0.15206392034523503,0.07058935377846291,0.27866797818641487,0.002196307657086592,0.15000000000000002,0.0,0.01,0.0,0.15000000000000002,0.01,5
3.6,1.816590212458495,0.993,0.005419870847169702,3.6420000000000003,0.03563705936241095,0.3395789682539682,0.0065234714953653255,7.237357958374086,0.13054467659101346,0.8004948936435488,0.005370349397116633,0.51912707930698,0.031095758527071447,0.2772642750516955,0.002322818457161494,0.15000000000000002,0.0,0.042222222222222223,0.0,0.15000000000000002,0.042222222222222223,5
